Correo,Escuela Ingreso,Licenciatura,Bachillerato ,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
feno_g26_u138,f-eo,enfermeria,enp,Bioquimica Diagnostico Inicial,1,7,2025-08-19,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-08-19,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-08-19,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-19,,,,,,,,,,,,,,,,,,,,
feno_g26_u012,f-eo,enfermeria,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feno_g26_u373,f-eo,otra,inc-sep,Bioquimica Diagnostico Inicial,1,3,2025-08-18,,,,,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-21,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-22,,,,,Introducción a la Ética Diagnostico Inicial,1,8,2025-08-22,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-22,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-08-22,,,,,"Matematicas, Diagnostico Inicial",2,8,2025-08-22,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-08-21,,,,
feno_g26_u189,f-eo,enfermeria,cch,Bioquimica Diagnostico Inicial,1,8,2025-08-18,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-18,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-18,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-08-18,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-08-18,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-08-18,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-18,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,9,2025-08-18,,,,
feno_g26_u267,f-eo,enfermeria,inc-unam,Bioquimica Diagnostico Inicial,1,3,2025-08-18,,,,,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-18,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-08-18,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-18,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-08-18,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-18,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-18,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-08-18,,,,
feno_g26_u236,f-eo,enfermeria,inc-sep,Bioquimica Diagnostico Inicial,1,5,2025-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feno_g26_u308,f-eo,enfermeria,cch,Bioquimica Diagnostico Final,1,7,2025-08-18,,1,5,2025-08-27,Topicos de Salud I Diagnostico Inicial,1,3,2025-08-19,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-08-18,,,,,Introducción a la Ética Diagnostico Inicial,1,4,2025-08-19,,,,,Biologia Celular Diagnostico Inicial,1,4,2025-08-19,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,2025-08-19,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-19,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,2025-08-19,,,,
feno_g26_u236,f-eo,enfermeria,enp,Bioquimica Diagnostico Inicial,1,5,2025-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feno_g26_u448,f-eo,otra,enp,Bioquimica Diagnostico Inicial,1,8,2025-08-18,,,,,Topicos de Salud I Diagnostico Inicial,1,4,2025-08-18,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-18,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-18,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-08-18,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,2025-08-18,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-08-18,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-08-18,,,,
"feno,_g26_u265",f-eo,enfermeria,otra,Bioquimica Diagnostico Inicial,1,8,2025-08-18,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-08-18,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-08-18,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-18,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-18,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-08-18,,,,,"Matematicas, Diagnostico Inicial",1,7,2025-08-18,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-08-18,,,,
